EventID | Time | Latitude | Longitude | Depth | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
11254886|2020-06-18T12:49:53|-33.2938|-177.8383|10.0|at,pt,us|NEIC PDE|us|us6000ae4n,pt20170001,at00qc4gz1|Mww|7.4|us|SOUTH OF KERMADEC ISLANDS
11252039|2020-06-13T21:08:30|18.9225|145.1033|622.0|us,pt|NEIC PDE|us|pt20165055,us6000abgq|Mww|6.2|us|MARIANA ISLANDS
11251929|2020-06-13T15:51:23|28.9386|128.2621|159.62|at,pt,us|NEIC PDE|us|us6000abcq,at00qbvg1n,pt20165054|Mww|6.6|us|RYUKYU ISLANDS, JAPAN
11250134|2020-06-10T19:58:50|-15.7726|-13.0475|10.0|us,pt,at|NEIC PDE|us|at00qbq7i8,pt20162000,us6000a9ik|Mww|6.0|us|SOUTHERN MID-ATLANTIC RIDGE
11245920|2020-06-04T08:49:39|2.9231|128.2477|106.86|pt,at,us|NEIC PDE|us|us6000a5r3,pt20156001,at00qbe8it|mww|6.4|us|HALMAHERA, INDONESIA
11245000|2020-06-03T07:35:34|-23.2955|-68.4217|96.84|at,pt,us|NEIC PDE|us|us6000a4yi,pt20155000,at00qbcaf9|mww|6.8|us|NORTHERN CHILE
11242788|2020-05-31T05:09:35|-15.2747|-70.663|153.41|us,at,pt|NEIC PDE|us|pt20152000,us6000a316,at00qb6jnz|mww|6.0|us|SOUTHERN PERU
11239832|2020-05-27T07:09:10|-17.1569|167.8644|10.0|us,at|NEIC PDE|us|at00qazajh,us60009zv5|mww|6.1|us|VANUATU ISLANDS
11235811|2020-05-22T08:46:06|22.4152|-108.1275|10.0|us,at,pt|NEIC PDE|us|pt20143000,at00qaq5ow,us70009n5p|Mww|6.1|us|OFF COAST OF CENTRAL MEXICO
11230644|2020-05-15T11:03:27|38.1689|-117.8497|2.7|nn,us,pt|NEIC PDE|nn|us70009gj8,nn00725272,pt20136000|Mww|6.5|us|NEVADA
11229231|2020-05-12T22:41:12|-12.0662|166.6482|107.0|at,pt,us|NEIC PDE|us|us70009f12,pt20133000,at00qa8poq|mww|6.6|us|SANTA CRUZ ISLANDS
11226387|2020-05-07T11:21:19|-4.4543|154.7127|466.17|us|NEIC PDE|us|us70009bn4|Mww|6.1|us|SOLOMON ISLANDS
11225877|2020-05-06T13:53:56|-6.7949|129.8613|107.0|us,at,pt|NEIC PDE|us|pt20127000,at00q9wx9x,us70009b14|Mww|6.8|us|BANDA SEA
11223978|2020-05-02T12:51:06|34.2045|25.7124|16.99|us,pt,at|NEIC PDE|us|us700098qd,at00q9pfp5,pt20123053|mww|6.6|us|CRETE, GREECE
11220573|2020-04-25T02:53:05|-6.4943|154.2794|12.94|us,at,pt|NEIC PDE|us|pt20116000,us60009c06,at00q9bpcp|mww|6.2|us|SOLOMON ISLANDS
11217521|2020-04-19T20:39:05|38.8962|142.0319|38.0|us,pt,at|NEIC PDE|us|at00q91yp4,us7000903m,pt20110001|mww|6.3|us|NEAR EAST COAST OF HONSHU, JAPAN
11216934|2020-04-18T08:25:37|27.1271|140.1312|453.0|at,pt,us|NEIC PDE|us|us70008z89,at00q8z62q,pt20109000|Mww|6.6|us|BONIN ISLANDS, JAPAN REGION
11215586|2020-04-16T08:04:37|16.9332|-85.7099|10.0|at,pt,us|NEIC PDE|us|us70008xeb,at00q8vfrr,pt20107000|mww|6.0|us|NORTH OF HONDURAS
